name	img	year	genres	rating	length	type	
Нигдегород и его окрестности	https://kinopoiskapiunofficial.tech/images/posters/kp/1377929.jpg	2019	комедия, мультфильм, фантастика, фэнтези	7.7	00:22	Мульт-сериал			
Первобытный	https://kinopoiskapiunofficial.tech/images/posters/kp/1263399.jpg	2019	боевик, мультфильм, приключения, фэнтези	8.5	00:22	Мульт-сериал			
Харли Квинн	https://kinopoiskapiunofficial.tech/images/posters/kp/1112514.jpg	2019	боевик, детектив, комедия, криминал, мультфильм, приключения, фантастика, фэнтези	8.2	00:22	Мульт-сериал			
Отель Хазбин	https://kinopoiskapiunofficial.tech/images/posters/kp/1322678.jpg	2019	драма, комедия, криминал, мультфильм, мюзикл, ужасы, фэнтези	7.7	00:32	Мульт-сериал			
Эра ИИ	https://kinopoiskapiunofficial.tech/images/posters/kp/1161421.jpg	2019	документальный	7.8	00:40	Сериал			
Русалка на суше	https://kinopoiskapiunofficial.tech/images/posters/kp/859919.jpg	2019	триллер, ужасы, фэнтези	4.8	01:31	Фильм			
Агент Ева	https://kinopoiskapiunofficial.tech/images/posters/kp/1189368.jpg	2019	боевик, драма, триллер	6.3	01:36	Фильм			
Кокаиновый барон	https://kinopoiskapiunofficial.tech/images/posters/kp/989978.jpg	2019	боевик, драма, комедия, криминал, триллер	6	01:40	Фильм			
Самая опасная игра	https://kinopoiskapiunofficial.tech/images/posters/kp/1322881.jpg	2020	боевик, триллер	6.7	00:07	Сериал			
Бесконечный Дендрограм	https://kinopoiskapiunofficial.tech/images/posters/kp/1331708.jpg	2020	аниме, мультфильм, приключения, фэнтези	6.1	00:24	Аниме-сериал			
Башня Бога	https://kinopoiskapiunofficial.tech/images/posters/kp/1363114.jpg	2020	аниме, детектив, мультфильм, приключения, фэнтези	7.5	00:25	Аниме-сериал			
Загрузка	https://kinopoiskapiunofficial.tech/images/posters/kp/1127489.jpg	2020	детектив, комедия, фантастика	7.4	00:30	Сериал			
Тед Лассо	https://kinopoiskapiunofficial.tech/images/posters/kp/1309707.jpg	2020	комедия, спорт	8.5	00:30	Сериал			
Некст	https://kinopoiskapiunofficial.tech/images/posters/kp/1245515.jpg	2020	драма, криминал, фантастика	6.7	00:43	Сериал			
Колл-центр	https://kinopoiskapiunofficial.tech/images/posters/kp/1108685.jpg	2020	драма, криминал, триллер	7.5	00:44	Сериал			
